soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC Title
11-0000,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,158.0,07/2015,Incumbent,Management Occupations
11-0000,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,157.0,07/2015,Incumbent,Management Occupations
11-0000,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,157.0,07/2015,Incumbent,Management Occupations
11-0000,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,157.0,07/2015,Incumbent,Management Occupations
11-0000,General and Operations Managers,20705,"Perform personnel functions such as selection, training, or evaluation.",Core,158.0,07/2015,Incumbent,Management Occupations
11-0000,General and Operations Managers,20706,Plan or direct activities such as sales promotions that require coordination with other department managers.,Core,158.0,07/2015,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,61.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3230,Gather and organize information to plan advertising campaigns.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3232,Confer with clients to provide marketing or technical advice.,Core,61.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3225,Assist with annual budget development.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Advertising and Promotions Managers,3246,Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,Core,62.0,06/2010,Incumbent,Management Occupations
11-0000,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,957,Compile lists describing product or service offerings.,Core,116.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,956,"Consult with product development personnel on product specifications such as design, color, or packaging.",Core,113.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,963,Initiate market research studies or analyze their findings.,Core,116.0,07/2015,Incumbent,Management Occupations
11-0000,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115.0,07/2015,Incumbent,Management Occupations
11-0000,Sales Managers,1,Resolve customer complaints regarding sales and service.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,14,Oversee regional and local sales managers and their staffs.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,4,Determine price schedules and discount rates.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,9,Prepare budgets and approve budget expenditures.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,21.0,06/2008,Occupational Expert,Management Occupations
11-0000,Public Relations and Fundraising Managers,18461,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",Core,102.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3248,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,18462,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3253,"Assign, supervise, and review the activities of public relations staff.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3249,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3259,Respond to requests for information about employers' activities or status.,Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3250,Manage communications budgets.,Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3257,"Direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.",Core,100.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3252,Draft speeches for company executives and arrange interviews and other forms of contact for them.,Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3254,Evaluate advertising and promotion programs for compatibility with public relations efforts.,Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3251,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3261,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Public Relations and Fundraising Managers,3258,"Formulate policies and procedures related to public information programs, working with public relations executives.",Core,103.0,06/2009,Incumbent,Management Occupations
11-0000,Administrative Services Managers,19,"Direct or coordinate the supportive services department of a business, agency, or organization.",Core,115.0,06/2009,Incumbent,Management Occupations
11-0000,Administrative Services Managers,21,Prepare and review operational reports and schedules to ensure accuracy and efficiency.,Core,113.0,06/2009,Incumbent,Management Occupations
11-0000,Administrative Services Managers,20,Set goals and deadlines for the department.,Core,114.0,06/2009,Incumbent,Management Occupations
11-0000,Administrative Services Managers,23,"Acquire, distribute and store supplies.",Core,116.0,06/2009,Incumbent,Management Occupations
11-0000,Administrative Services Managers,22,"Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.",Core,116.0,06/2009,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,978,Review project plans to plan and coordinate project activity.,Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,966,"Manage backup, security and user help systems.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,976,"Develop and interpret organizational goals, policies, and procedures.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,971,"Develop computer information resources, providing for data security and control, strategic computing, and disaster recovery.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,967,"Consult with users, management, vendors, and technicians to assess computing needs and system requirements.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,970,Stay abreast of advances in technology.,Core,119.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,15198,Provide users with technical support for computer problems.,Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,977,"Recruit, hire, train and supervise staff, or participate in staffing decisions.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,979,Evaluate data processing proposals to assess project feasibility and requirements.,Core,117.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,974,Control operational budget and expenditures.,Core,119.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,972,Review and approve all systems charts and programs prior to their implementation.,Core,119.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,968,"Direct daily operations of department, analyzing workflow, establishing priorities, developing standards and setting deadlines.",Core,119.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,969,"Assign and review the work of systems analysts, programmers, and other computer-related workers.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,973,"Evaluate the organization's technology use and needs and recommend improvements, such as hardware and software upgrades.",Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,980,Prepare and review operational reports or project progress reports.,Core,120.0,06/2008,Incumbent,Management Occupations
11-0000,Computer and Information Systems Managers,981,Purchase necessary equipment.,Core,119.0,06/2008,Incumbent,Management Occupations
11-0000,Treasurers and Controllers,8857,"Supervise employees performing financial reporting, accounting, billing, collections, payroll, and budgeting duties.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8865,"Coordinate and direct the financial planning, budgeting, procurement, or investment activities of all or part of an organization.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8866,"Develop internal control policies, guidelines, and procedures for activities such as budget administration, cash and credit management, and accounting.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8859,"Maintain current knowledge of organizational policies and procedures, federal and state policies and directives, and current accounting standards.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8856,"Prepare or direct preparation of financial statements, business activity reports, financial position forecasts, annual budgets, or reports required by regulatory agencies.",Core,29.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8869,Provide direction and assistance to other organizational units regarding accounting and budgeting policies and procedures and efficient control and utilization of financial resources.,Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8867,"Analyze the financial details of past, present, and expected operations to identify development opportunities and areas where improvement is needed.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8868,"Advise management on short-term and long-term financial objectives, policies, and actions.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,20168,"Monitor financial activities and details, such as cash flow and reserve levels, to ensure that all legal and regulatory requirements are met.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8870,Evaluate needs for procurement of funds and investment of surpluses and make appropriate recommendations.,Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8863,"Monitor and evaluate the performance of accounting and other financial staff, recommending and implementing personnel actions, such as promotions and dismissals.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8864,"Develop and maintain relationships with banking, insurance, and nonorganizational accounting personnel to facilitate financial activities.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8861,"Receive, record, and authorize requests for disbursements in accordance with company policies and procedures.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8858,"Delegate authority for the receipt, disbursement, banking, protection, and custody of funds, securities, and financial instruments.",Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8860,Conduct or coordinate audits of company accounts and financial transactions to ensure compliance with state and federal requirements and statutes.,Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,Treasurers and Controllers,8871,Lead staff training and development in budgeting and financial management areas.,Core,30.0,07/2012,Occupational Expert,Management Occupations
11-0000,"Financial Managers, Branch or Department",8878,"Plan, direct, or coordinate the activities of workers in branches, offices, or departments of establishments, such as branch banks, brokerage firms, risk and insurance departments, or credit departments.",Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,"Financial Managers, Branch or Department",8876,Establish and maintain relationships with individual or business customers or provide assistance with problems these customers may encounter.,Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,"Financial Managers, Branch or Department",20462,Recruit staff members.,Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,"Financial Managers, Branch or Department",8886,Prepare operational or risk reports for management analysis.,Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,"Financial Managers, Branch or Department",8891,Evaluate data pertaining to costs to plan budgets.,Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,"Financial Managers, Branch or Department",20463,Oversee training programs.,Core,86.0,07/2014,Incumbent,Management Occupations
11-0000,Industrial Production Managers,34,"Review processing schedules or production orders to make decisions concerning inventory requirements, staffing requirements, work procedures, or duty assignments, considering budgetary limitations and time constraints.",Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,32,"Direct or coordinate production, processing, distribution, or marketing activities of industrial organizations.",Core,116.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,40,"Develop or implement production tracking or quality control systems, analyzing production, quality control, maintenance, or other operational reports, to detect production problems.",Core,118.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,35,Review operations and confer with technical or administrative staff to resolve production or processing problems.,Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,36,"Hire, train, evaluate, or discharge staff or resolve personnel grievances.",Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,38,Prepare and maintain production reports or personnel records.,Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,39,"Set and monitor product standards, examining samples of raw products or directing testing during processing, to ensure finished products are of prescribed quality.",Core,118.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,33,"Develop budgets or approve expenditures for supplies, materials, or human resources, ensuring that materials, labor, or equipment are used efficiently to meet production targets.",Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,37,Initiate or coordinate inventory or cost control programs.,Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,43,"Coordinate or recommend procedures for facility or equipment maintenance or modification, including the replacement of machines.",Core,118.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,41,Review plans and confer with research or support staff to develop new products or processes.,Core,118.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,42,Institute employee suggestion or involvement programs.,Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Industrial Production Managers,44,"Maintain current knowledge of the quality control field, relying on current literature pertaining to materials use, technological advances, or statistical studies.",Core,117.0,07/2013,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15411,Collect and analyze production samples to evaluate quality.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15428,Analyze quality control test results and provide feedback and interpretation to production management or staff.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15405,Stop production if serious product defects are present.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15430,Monitor performance of quality control systems to ensure effectiveness and efficiency.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15427,"Communicate quality control information to all relevant organizational departments, outside vendors, or contractors.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15421,Instruct staff in quality control and analytical procedures.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15416,"Produce reports regarding nonconformance of products or processes, daily production quality, root cause analyses, or quality trends.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15417,Participate in the development of product specifications.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15407,"Review statistical studies, technological advances, or regulatory standards and trends to stay abreast of issues in the field of quality control.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15422,Identify critical points in the manufacturing process and specify sampling procedures to be used at these points.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15425,Create and implement inspection and testing criteria or procedures.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15429,"Oversee workers including supervisors, inspectors, or laboratory workers engaged in testing activities.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15423,"Document testing procedures, methodologies, or criteria.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15415,Review and update standard operating procedures or quality assurance manuals.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15420,Identify quality problems or areas for improvement and recommend solutions.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15413,"Verify that raw materials, purchased parts or components, in-process samples, and finished products meet established testing and inspection standards.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15414,Review quality documentation necessary for regulatory submissions and inspections.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15408,Generate and maintain quality control operating budgets.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15424,"Direct the tracking of defects, test results, or other regularly reported quality control data.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15409,Evaluate new testing and sampling methodologies or technologies to determine usefulness.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15431,Direct product testing activities throughout production cycles.,Core,59.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15419,"Instruct vendors or contractors on quality guidelines, testing procedures, or ways to eliminate deficiencies.",Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Quality Control Systems Managers,15410,Coordinate the selection and implementation of quality control equipment such as inspection gauges.,Core,60.0,07/2012,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15446,Supervise employees in geothermal power plants or well fields.,Core,51.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15447,"Oversee geothermal plant operations, maintenance, and repairs to ensure compliance with applicable standards or regulations.",Core,50.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15434,Communicate geothermal plant conditions to employees.,Core,51.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15443,"Identify and evaluate equipment, procedural, or conditional inefficiencies involving geothermal plant systems.",Core,51.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15439,Perform or direct the performance of preventative maintenance on geothermal plant equipment.,Core,51.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15448,Inspect geothermal plant or injection well fields to verify proper equipment operations.,Core,51.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15445,Develop or manage budgets for geothermal operations.,Core,52.0,07/2011,Incumbent,Management Occupations
11-0000,Geothermal Production Managers,15433,Select and implement corrosion control or mitigation systems for geothermal plants.,Core,51.0,07/2011,Incumbent,Management Occupations
