soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
15-1121.00,Computer Systems Analysts,3474,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",Core,119.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3476,Define the goals of the system and devise flow charts and diagrams describing logical operational steps of programs.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3473,Train staff and users to work with computer systems and programs.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.00,Computer Systems Analysts,3479,Recommend new equipment or software packages.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18094,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18096,"Apply knowledge of computer science, information science, nursing, and informatics theory to nursing practice, education, administration, or research, in collaboration with other health informatics specialists.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18090,"Translate nursing practice information between nurses and systems engineers, analysts, or designers using object-oriented models or other techniques.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18100,"Develop strategies, policies or procedures for introducing, evaluating or modifying information technology applied to nursing practice, administration, education, or research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18097,"Develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18101,"Identify, collect, record or analyze data that are relevant to the nursing care of patients.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18102,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in informatics.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18103,Provide consultation to nurses regarding hardware or software configuration.,Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18089,"Disseminate information about nursing informatics science and practice to the profession, other health care professions, nursing students, and the public.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18093,"Develop, implement or evaluate health information technology applications, tools, processes or structures to assist nurses with data management.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18092,Use informatics science to design or implement health information technology applications to resolve clinical or health care administrative problems.,Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18099,"Develop or deliver training programs for health information technology, creating operating manuals as needed.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18095,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18104,"Inform local, state, national and international health policies related to information management and communication, confidentiality and security, patient safety, infrastructure development and economics.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1121.01,Informatics Nurse Specialists,18098,"Design, conduct, or provide support to nursing informatics research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5321,Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5314,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5323,Review violations of computer security procedures and discuss procedures with violators to ensure violations are not repeated.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5319,Monitor use of data files and regulate access to safeguard information in computer files.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5316,Monitor current reports of computer viruses to determine when to update virus protection systems.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5317,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5320,Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5315,"Confer with users to discuss issues such as computer data access needs, security violations, and programming changes.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5313,Train users and promote security awareness to ensure system security and to improve server and network efficiency.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5318,Coordinate implementation of computer system plan with establishment personnel and outside vendors.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1122.00,Information Security Analysts,5322,"Document computer security and emergency measures policies, procedures, and tests.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1267,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1268,Conduct trial runs of programs and software applications to be sure they will produce the desired information and that the instructions are correct.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1270,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1272,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1271,"Consult with managerial, engineering, and technical personnel to clarify program intent, identify problems, and suggest changes.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1277,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1278,Consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1131.00,Computer Programmers,1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3431,"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3436,"Develop and direct software system testing and validation procedures, programming, and documentation.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3430,"Confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3432,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Core,84.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3435,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3442,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3433,Consult with customers about software system design and maintenance.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3438,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3434,Coordinate software system installation and monitor equipment functioning to ensure specifications are met.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3439,"Obtain and evaluate information on factors such as reporting formats required, costs, and security needs to determine hardware configuration.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1132.00,"Software Developers, Applications",3440,Determine system performance standards.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3445,"Modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3449,Develop or direct software system testing or validation procedures.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3450,Direct software programming and development of documentation.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3451,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3448,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Core,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3447,"Consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems.",Core,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3446,"Design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",Core,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3457,"Prepare reports or correspondence concerning project specifications, activities, or status.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3456,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,Core,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3455,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1133.00,"Software Developers, Systems Software",3453,Coordinate installation of software system.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14694,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14695,Perform or direct Web site updates.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14696,"Write, design, or edit Web page content, or direct others producing content.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14697,"Confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14698,Back up files from Web sites to local directories for instant recovery in case of problems.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14699,"Identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14700,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14701,"Maintain understanding of current Web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14702,Analyze user needs to determine technical requirements.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14703,Develop or validate test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14704,Develop databases that support Web applications and Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14705,Renew domain name registrations.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14706,Collaborate with management or users to develop e-commerce strategies and to integrate these strategies with Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14707,Write supporting code for Web applications or Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14708,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14709,"Design and implement Web site security measures, such as firewalls or message encryption.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14710,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14711,"Select programming languages, design tools, or applications.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14712,"Incorporate technical considerations into Web site design plans, such as budgets, equipment, performance requirements, or legal issues including accessibility and privacy.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14713,"Respond to user email inquiries, or set up automated systems to send responses.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14714,Develop or implement procedures for ongoing Web site revision.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14715,Develop and document style guidelines for Web site content.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14716,"Develop Web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14717,Establish appropriate server directory trees.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14718,Identify or maintain links to and from other Web sites and check links to ensure proper functioning.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14719,Recommend and implement performance improvements.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14720,Create searchable indices for Web page content.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14721,Register Web sites with search engines to increase Web site traffic.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14722,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",Core,29.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1134.00,Web Developers,14724,"Create web models or prototypes that include physical, interface, logical, or data models.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1300,"Test programs or databases, correct errors, and make necessary modifications.",Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1299,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Core,83.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1301,"Plan, coordinate and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1310,Work as part of a project team to coordinate database development and determine project scope and limitations.,Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1313,Write and code logical and physical database descriptions and specify identifiers of database to management system or direct others in coding descriptions.,Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1303,Train users and answer questions.,Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1305,Specify users and user access levels for each segment of database.,Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1302,"Approve, schedule, plan, and supervise the installation and testing of new products and improvements to computer systems such as the installation of new databases.",Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1308,Review project requests describing database user needs to estimate time and cost required to accomplish project.,Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1298,Develop standards and guidelines to guide the use and acquisition of software and to protect vulnerable information.,Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1309,Review procedures in database management system manuals for making changes to database.,Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1307,Develop methods for integrating different products so they work properly together such as customizing commercial databases to fit specific needs.,Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1306,"Develop data model describing data elements and how they are used, following procedures and using pen, template or computer software.",Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1141.00,Database Administrators,1311,Select and enter codes to monitor database performance and to create production database.,Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1318,"Maintain and administer computer networks and related computing environments including computer hardware, systems software, applications software, and all configurations.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1317,Perform data backups and disaster recovery operations.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,15205,"Diagnose, troubleshoot, and resolve hardware, software, or other network and system problems, and replace defective components when necessary.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1319,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,15206,"Configure, monitor, and maintain email applications or virus protection software.",Core,76.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1320,"Operate master consoles to monitor the performance of computer systems and networks, and to coordinate computer network access and use.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1327,"Load computer tapes and disks, and install software and printer paper or forms.",Core,76.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1322,"Design, configure, and test computer hardware, networking software and operating system software.",Core,76.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1325,"Monitor network performance to determine whether adjustments need to be made, and to determine where changes will need to be made in the future.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1324,Confer with network users about how to solve existing system problems.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,15207,"Research new technologies by attending seminars, reading trade articles, or taking classes, and implement or recommend the implementation of new technologies.",Core,76.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1329,Analyze equipment performance records to determine the need for repair or replacement.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,15208,"Implement and provide technical support for voice services and equipment, such as private branch exchange, voice mail system, and telecom system.",Core,75.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1332,Maintain an inventory of parts for emergency repairs.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1323,"Recommend changes to improve systems and network configurations, and determine hardware or software requirements related to such changes.",Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1328,"Gather data pertaining to customer needs, and use the information to identify, predict, interpret, and evaluate system and network requirements.",Core,76.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1326,Train people in computer system use.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1142.00,Network and Computer Systems Administrators,1333,Coordinate with vendors and with company personnel to facilitate purchases.,Core,77.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16081,"Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16058,"Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16074,"Implement or perform preventive maintenance, backup, or recovery procedures.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16080,"Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16082,Assess existing facilities' needs for new or modified telecommunications systems.,Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,20365,"Order or maintain inventory of telecommunications equipment for customer premises equipment (CPE), facilities, access networks, or backbone networks.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16083,"Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16060,"Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16069,"Monitor and analyze system performance, such as network traffic, security, and capacity.",Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
15-1143.01,Telecommunications Engineering Specialists,16059,Estimate costs for system or component implementation and operation.,Core,23.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
