,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC Title
33,11-0000,Chief Sustainability Officers,15376,"Research environmental sustainability issues, concerns, or stakeholder interests.",Core,26.0,07/2013,Occupational Expert,Management Occupations
34,11-0000,Chief Sustainability Officers,15381,Develop methodologies to assess the viability or success of sustainability initiatives.,Core,26.0,07/2013,Occupational Expert,Management Occupations
35,11-0000,Chief Sustainability Officers,15382,Monitor and evaluate effectiveness of sustainability programs.,Core,26.0,07/2013,Occupational Expert,Management Occupations
36,11-0000,Chief Sustainability Officers,15377,"Evaluate and approve proposals for sustainability projects, considering factors such as cost effectiveness, technical feasibility, and integration with other initiatives.",Core,26.0,07/2013,Occupational Expert,Management Occupations
37,11-0000,Chief Sustainability Officers,15380,"Develop, or oversee the development of, marketing or outreach media for sustainability projects or events.",Core,26.0,07/2013,Occupational Expert,Management Occupations
38,11-0000,Chief Sustainability Officers,15379,"Develop, or oversee the development of, sustainability evaluation or monitoring systems.",Core,26.0,07/2013,Occupational Expert,Management Occupations
39,11-0000,Chief Sustainability Officers,15370,"Create and maintain sustainability program documents, such as schedules and budgets.",Core,26.0,07/2013,Occupational Expert,Management Occupations
40,11-0000,Chief Sustainability Officers,15383,Direct sustainability program operations to ensure compliance with environmental or governmental regulations.,Core,26.0,07/2013,Occupational Expert,Management Occupations
41,11-0000,Chief Sustainability Officers,15367,"Identify educational, training, or other development opportunities for sustainability employees or volunteers.",Core,26.0,07/2013,Occupational Expert,Management Occupations
42,11-0000,Chief Sustainability Officers,15378,"Develop sustainability reports, presentations, or proposals for supplier, employee, academia, media, government, public interest, or other groups.",Core,26.0,07/2013,Occupational Expert,Management Occupations
43,11-0000,Chief Sustainability Officers,15374,"Review sustainability program objectives, progress, or status to ensure compliance with policies, standards, regulations, or laws.",Core,26.0,07/2013,Occupational Expert,Management Occupations
44,11-0000,Chief Sustainability Officers,15375,Formulate or implement sustainability campaign or marketing strategies.,Core,26.0,07/2013,Occupational Expert,Management Occupations
45,11-0000,Chief Sustainability Officers,15368,Identify and evaluate pilot projects or programs to enhance the sustainability research agenda.,Core,26.0,07/2013,Occupational Expert,Management Occupations
46,11-0000,Chief Sustainability Officers,15369,Conduct sustainability- or environment-related risk assessments.,Core,26.0,07/2013,Occupational Expert,Management Occupations
47,11-0000,Chief Sustainability Officers,15371,"Write project proposals, grant applications, or other documents to pursue funding for environmental initiatives.",Core,26.0,07/2013,Occupational Expert,Management Occupations
48,11-0000,Chief Sustainability Officers,15373,Write and distribute financial or environmental impact reports.,Core,26.0,07/2013,Occupational Expert,Management Occupations
49,11-0000,General and Operations Managers,20699,"Review financial statements, sales or activity reports, or other performance data to measure productivity or goal achievement or to identify areas needing cost reduction or program improvement.",Core,157.0,07/2015,Incumbent,Management Occupations
50,11-0000,General and Operations Managers,933,"Direct and coordinate activities of businesses or departments concerned with the production, pricing, sales, or distribution of products.",Core,157.0,07/2015,Incumbent,Management Occupations
51,11-0000,General and Operations Managers,20700,Direct administrative activities directly related to making products or providing services.,Core,156.0,07/2015,Incumbent,Management Occupations
52,11-0000,General and Operations Managers,20701,Prepare staff work schedules and assign specific duties.,Core,158.0,07/2015,Incumbent,Management Occupations
53,11-0000,General and Operations Managers,20702,Monitor suppliers to ensure that they efficiently and effectively provide needed goods or services within budgetary limits.,Core,157.0,07/2015,Incumbent,Management Occupations
54,11-0000,General and Operations Managers,20703,"Direct or coordinate financial or budget activities to fund operations, maximize investments, or increase efficiency.",Core,157.0,07/2015,Incumbent,Management Occupations
55,11-0000,General and Operations Managers,20704,"Establish or implement departmental policies, goals, objectives, or procedures in conjunction with board members, organization officials, or staff members.",Core,157.0,07/2015,Incumbent,Management Occupations
56,11-0000,General and Operations Managers,20705,"Perform personnel functions such as selection, training, or evaluation.",Core,158.0,07/2015,Incumbent,Management Occupations
57,11-0000,General and Operations Managers,20706,Plan or direct activities such as sales promotions that require coordination with other department managers.,Core,158.0,07/2015,Incumbent,Management Occupations
58,11-0000,General and Operations Managers,20707,Set prices or credit terms for goods or services based on forecasts of customer demand.,Supplemental,158.0,07/2015,Incumbent,Management Occupations
59,11-0000,General and Operations Managers,20708,"Manage the movement of goods into and out of production facilities to ensure efficiency, effectiveness, or sustainability of operations.",Supplemental,158.0,07/2015,Incumbent,Management Occupations
60,11-0000,General and Operations Managers,944,"Perform sales floor work, such as greeting or assisting customers, stocking shelves, or taking inventory.",Supplemental,158.0,07/2015,Incumbent,Management Occupations
61,11-0000,General and Operations Managers,945,"Develop or implement product-marketing strategies, including advertising campaigns or sales promotions.",Supplemental,158.0,07/2015,Incumbent,Management Occupations
62,11-0000,General and Operations Managers,948,Recommend locations for new facilities or oversee the remodeling or renovating of current facilities.,Supplemental,158.0,07/2015,Incumbent,Management Occupations
63,11-0000,General and Operations Managers,19501,"Implement or oversee environmental management or sustainability programs addressing issues such as recycling, conservation, or waste management.",Supplemental,157.0,07/2015,Incumbent,Management Occupations
64,11-0000,General and Operations Managers,947,"Direct non-merchandising departments of businesses, such as advertising or purchasing.",Supplemental,158.0,07/2015,Incumbent,Management Occupations
65,11-0000,General and Operations Managers,949,Plan store layouts or design displays.,Supplemental,158.0,07/2015,Incumbent,Management Occupations
66,11-0000,Legislators,15267,Analyze and understand the local and national implications of proposed legislation.,,,06/2006,Analyst,Management Occupations
67,11-0000,Legislators,15268,"Appoint nominees to leadership posts, or approve such appointments.",,,06/2006,Analyst,Management Occupations
68,11-0000,Legislators,15269,Confer with colleagues to formulate positions and strategies pertaining to pending issues.,,,06/2006,Analyst,Management Occupations
69,11-0000,Legislators,15270,"Debate the merits of proposals and bill amendments during floor sessions, following the appropriate rules of procedure.",,,06/2006,Analyst,Management Occupations
70,11-0000,Legislators,15271,Develop expertise in subject matters related to committee assignments.,,,06/2006,Analyst,Management Occupations
71,11-0000,Legislators,15272,"Hear testimony from constituents, representatives of interest groups, board and commission members, and others with an interest in bills or issues under consideration.",,,06/2006,Analyst,Management Occupations
72,11-0000,Legislators,15273,"Keep abreast of the issues affecting constituents by making personal visits and phone calls, reading local newspapers, and viewing or listening to local broadcasts.",,,06/2006,Analyst,Management Occupations
73,11-0000,Legislators,15274,Maintain knowledge of relevant national and international current events.,,,06/2006,Analyst,Management Occupations
74,11-0000,Legislators,15275,"Make decisions that balance the perspectives of private citizens, public officials, and party leaders.",,,06/2006,Analyst,Management Occupations
75,11-0000,Legislators,15276,"Negotiate with colleagues or members of other political parties in order to reconcile differing interests, and to create policies and agreements.",,,06/2006,Analyst,Management Occupations
76,11-0000,Legislators,15277,"Prepare drafts of amendments, government policies, laws, rules, regulations, budgets, programs and procedures.",,,06/2006,Analyst,Management Occupations
77,11-0000,Legislators,15278,Read and review concerns of constituents or the general public and determine if governmental action is necessary.,,,06/2006,Analyst,Management Occupations
78,11-0000,Legislators,15279,"Represent their parties in negotiations with political executives or members of other parties, and when speaking with the media.",,,06/2006,Analyst,Management Occupations
79,11-0000,Legislators,15280,"Review bills in committee, and make recommendations about their future.",,,06/2006,Analyst,Management Occupations
80,11-0000,Legislators,15281,Seek federal funding for local projects and programs.,,,06/2006,Analyst,Management Occupations
81,11-0000,Legislators,15282,"Serve on commissions, investigative panels, study groups, and committees in order to examine specialized areas and recommend action.",,,06/2006,Analyst,Management Occupations
82,11-0000,Legislators,15283,"Vote on motions, amendments, and decisions on whether or not to report a bill out from committee to the assembly floor.",,,06/2006,Analyst,Management Occupations
83,11-0000,Legislators,15284,"Write, prepare, and deliver statements for the Congressional Record.",,,06/2006,Analyst,Management Occupations
84,11-0000,Legislators,15285,"Alert constituents of government actions and programs by way of newsletters, personal appearances at town meetings, phone calls, and individual meetings.",,,06/2006,Analyst,Management Occupations
85,11-0000,Legislators,15286,"Attend receptions, dinners, and conferences to meet people, exchange views and information, and develop working relationships.",,,06/2006,Analyst,Management Occupations
86,11-0000,Legislators,15287,"Conduct ""head counts"" to help predict the outcome of upcoming votes.",,,06/2006,Analyst,Management Occupations
87,11-0000,Legislators,15288,"Determine campaign strategies for media advertising, positions on issues, and public appearances.",,,06/2006,Analyst,Management Occupations
88,11-0000,Legislators,15289,Encourage and support party candidates for political office.,,,06/2006,Analyst,Management Occupations
89,11-0000,Legislators,15290,"Establish personal offices in local districts or states, and manage office staff.",,,06/2006,Analyst,Management Occupations
90,11-0000,Legislators,15291,"Evaluate the structure, efficiency, activities, and performance of government agencies.",,,06/2006,Analyst,Management Occupations
91,11-0000,Legislators,15292,"Organize and maintain campaign organizations and fundraisers, in order to raise money for election or re-election.",,,06/2006,Analyst,Management Occupations
92,11-0000,Legislators,15293,"Oversee expense allowances, ensuring that accounts are balanced at the end of each fiscal year.",,,06/2006,Analyst,Management Occupations
93,11-0000,Legislators,15294,Promote the industries and products of their electoral districts.,,,06/2006,Analyst,Management Occupations
94,11-0000,Legislators,15295,"Represent their government at local, national, and international meetings and conferences.",,,06/2006,Analyst,Management Occupations
95,11-0000,Legislators,15296,Speak to students to encourage and support the development of future political leaders.,,,06/2006,Analyst,Management Occupations
96,11-0000,Advertising and Promotions Managers,3226,"Inspect layouts and advertising copy and edit scripts, audio and video tapes, and other promotional material for adherence to specifications.",Core,62.0,06/2010,Incumbent,Management Occupations
97,11-0000,Advertising and Promotions Managers,3224,"Plan and prepare advertising and promotional material to increase sales of products or services, working with customers, company officials, sales departments, and advertising agencies.",Core,61.0,06/2010,Incumbent,Management Occupations
98,11-0000,Advertising and Promotions Managers,3230,Gather and organize information to plan advertising campaigns.,Core,62.0,06/2010,Incumbent,Management Occupations
99,11-0000,Advertising and Promotions Managers,3232,Confer with clients to provide marketing or technical advice.,Core,61.0,06/2010,Incumbent,Management Occupations
100,11-0000,Advertising and Promotions Managers,3237,"Direct, motivate, and monitor the mobilization of a campaign team to advance campaign goals.",Core,62.0,06/2010,Incumbent,Management Occupations
101,11-0000,Advertising and Promotions Managers,3231,"Confer with department heads or staff to discuss topics such as contracts, selection of advertising media, or product to be advertised.",Core,62.0,06/2010,Incumbent,Management Occupations
102,11-0000,Advertising and Promotions Managers,3223,Prepare budgets and submit estimates for program costs as part of campaign plan development.,Core,62.0,06/2010,Incumbent,Management Occupations
103,11-0000,Advertising and Promotions Managers,3228,Prepare and negotiate advertising and sales contracts.,Core,62.0,06/2010,Incumbent,Management Occupations
104,11-0000,Advertising and Promotions Managers,3238,Plan and execute advertising policies and strategies for organizations.,Core,62.0,06/2010,Incumbent,Management Occupations
105,11-0000,Advertising and Promotions Managers,3225,Assist with annual budget development.,Core,62.0,06/2010,Incumbent,Management Occupations
106,11-0000,Advertising and Promotions Managers,3236,Provide presentation and product demonstration support during the introduction of new products and services to field staff and customers.,Core,62.0,06/2010,Incumbent,Management Occupations
107,11-0000,Advertising and Promotions Managers,3235,Formulate plans to extend business with established accounts and to transact business as agent for advertising accounts.,Core,62.0,06/2010,Incumbent,Management Occupations
108,11-0000,Advertising and Promotions Managers,3244,Direct and coordinate product research and development.,Core,62.0,06/2010,Incumbent,Management Occupations
109,11-0000,Advertising and Promotions Managers,3229,"Identify and develop contacts for promotional campaigns and industry programs that meet identified buyer targets, such as dealers, distributors, or consumers.",Core,62.0,06/2010,Incumbent,Management Occupations
110,11-0000,Advertising and Promotions Managers,3245,Represent company at trade association meetings to promote products.,Core,62.0,06/2010,Incumbent,Management Occupations
111,11-0000,Advertising and Promotions Managers,3234,"Read trade journals and professional literature to stay informed on trends, innovations, and changes that affect media planning.",Core,62.0,06/2010,Incumbent,Management Occupations
112,11-0000,Advertising and Promotions Managers,3246,Consult publications to learn about conventions and social functions and to organize prospect files for promotional purposes.,Core,62.0,06/2010,Incumbent,Management Occupations
113,11-0000,Advertising and Promotions Managers,3227,"Coordinate activities of departments, such as sales, graphic arts, media, finance, and research.",Supplemental,62.0,06/2010,Incumbent,Management Occupations
114,11-0000,Advertising and Promotions Managers,3241,Train and direct workers engaged in developing and producing advertisements.,Supplemental,62.0,06/2010,Incumbent,Management Occupations
115,11-0000,Advertising and Promotions Managers,3239,Track program budgets and expenses and campaign response rates to evaluate each campaign based on program objectives and industry norms.,Supplemental,61.0,06/2010,Incumbent,Management Occupations
116,11-0000,Advertising and Promotions Managers,3233,Monitor and analyze sales promotion results to determine cost effectiveness of promotion campaigns.,Supplemental,61.0,06/2010,Incumbent,Management Occupations
117,11-0000,Advertising and Promotions Managers,3242,Coordinate with the media to disseminate advertising.,Supplemental,62.0,06/2010,Incumbent,Management Occupations
118,11-0000,Advertising and Promotions Managers,3243,Contact organizations to explain services and facilities offered.,Supplemental,61.0,06/2010,Incumbent,Management Occupations
119,11-0000,Advertising and Promotions Managers,18586,"Manage sales team including setting goals, providing incentives, and evaluating employee performance.",Supplemental,61.0,06/2010,Incumbent,Management Occupations
120,11-0000,Advertising and Promotions Managers,3240,"Assemble and communicate with a strong, diverse coalition of organizations or public figures, securing their cooperation, support and action, to further campaign goals.",Supplemental,62.0,06/2010,Incumbent,Management Occupations
121,11-0000,Green Marketers,19941,Analyze green product marketing or sales trends to forecast future conditions.,,,07/2011,Analyst,Management Occupations
122,11-0000,Green Marketers,15400,Analyze the effectiveness of marketing tactics or channels.,,,07/2011,Analyst,Management Occupations
123,11-0000,Green Marketers,19940,"Attend or participate in conferences, community events, and promotional events related to green products or technologies.",,,07/2011,Analyst,Management Occupations
124,11-0000,Green Marketers,19939,"Conduct research on consumer opinions and buying habits, and identify target audiences for green products, services, or technologies.",,,07/2011,Analyst,Management Occupations
125,11-0000,Green Marketers,19942,"Develop branding or sales initiatives for green products, such as solar energy systems, green cleaning products, or products using renewable or recycled materials.",,,07/2011,Analyst,Management Occupations
126,11-0000,Green Marketers,19938,"Develop communications materials, advertisements, presentations, or public relations initiatives to promote awareness of green products and technologies.",,,07/2011,Analyst,Management Occupations
127,11-0000,Green Marketers,19943,"Develop comprehensive marketing strategies, using knowledge of green products and technologies, markets, and regulations.",,,07/2011,Analyst,Management Occupations
128,11-0000,Green Marketers,19937,Identify marketing channels for green products or services.,,,07/2011,Analyst,Management Occupations
129,11-0000,Green Marketers,19936,"Revise existing marketing plans or campaigns for green products, technologies, or services.",,,07/2011,Analyst,Management Occupations
130,11-0000,Green Marketers,19935,"Write marketing content for green product web sites, brochures, or other communication media.",,,07/2011,Analyst,Management Occupations
131,11-0000,Green Marketers,15401,"Analyze regional energy markets, including energy pricing, market structures, energy generation competition, and energy transmission constraints.",,,07/2011,Analyst,Management Occupations
132,11-0000,Green Marketers,19944,Coordinate with other marketing team members and workers such as graphic artists to develop and implement marketing programs.,,,07/2011,Analyst,Management Occupations
133,11-0000,Green Marketers,15389,"Devise or evaluate methods and procedures for collecting data, such as surveys, opinion polls, and questionnaires.",,,07/2011,Analyst,Management Occupations
134,11-0000,Green Marketers,19934,Generate or identify sales leads for green products and technologies.,,,07/2011,Analyst,Management Occupations
135,11-0000,Green Marketers,15387,"Maintain portfolios of marketing campaigns, strategies, and other marketing products or ideas.",,,07/2011,Analyst,Management Occupations
136,11-0000,Green Marketers,19933,Monitor green-related industry statistics or literature to identify trends.,,,07/2011,Analyst,Management Occupations
137,11-0000,Marketing Managers,951,"Identify, develop, or evaluate marketing strategy, based on knowledge of establishment objectives, market characteristics, and cost and markup factors.",Core,117.0,07/2015,Incumbent,Management Occupations
138,11-0000,Marketing Managers,20709,"Formulate, direct, or coordinate marketing activities or policies to promote products or services, working with advertising or promotion managers.",Core,117.0,07/2015,Incumbent,Management Occupations
139,11-0000,Marketing Managers,952,"Evaluate the financial aspects of product development, such as budgets, expenditures, research and development appropriations, or return-on-investment and profit-loss projections.",Core,116.0,07/2015,Incumbent,Management Occupations
140,11-0000,Marketing Managers,950,"Develop pricing strategies, balancing firm objectives and customer satisfaction.",Core,117.0,07/2015,Incumbent,Management Occupations
141,11-0000,Marketing Managers,957,Compile lists describing product or service offerings.,Core,116.0,07/2015,Incumbent,Management Occupations
142,11-0000,Marketing Managers,954,"Direct the hiring, training, or performance evaluations of marketing or sales staff and oversee their daily activities.",Core,117.0,07/2015,Incumbent,Management Occupations
143,11-0000,Marketing Managers,956,"Consult with product development personnel on product specifications such as design, color, or packaging.",Core,113.0,07/2015,Incumbent,Management Occupations
144,11-0000,Marketing Managers,958,"Use sales forecasting or strategic planning to ensure the sale and profitability of products, lines, or services, analyzing business developments and monitoring market trends.",Core,116.0,07/2015,Incumbent,Management Occupations
145,11-0000,Marketing Managers,955,"Negotiate contracts with vendors or distributors to manage product distribution, establishing distribution networks or developing distribution strategies.",Core,115.0,07/2015,Incumbent,Management Occupations
146,11-0000,Marketing Managers,961,"Coordinate or participate in promotional activities or trade shows, working with developers, advertisers, or production managers, to market products or services.",Core,116.0,07/2015,Incumbent,Management Occupations
147,11-0000,Marketing Managers,963,Initiate market research studies or analyze their findings.,Core,116.0,07/2015,Incumbent,Management Occupations
148,11-0000,Marketing Managers,960,"Confer with legal staff to resolve problems, such as copyright infringement or royalty sharing with outside producers or distributors.",Core,115.0,07/2015,Incumbent,Management Occupations
149,11-0000,Marketing Managers,964,Consult with buying personnel to gain advice regarding the types of products or services expected to be in demand.,Supplemental,116.0,07/2015,Incumbent,Management Occupations
150,11-0000,Marketing Managers,19502,Consult with buying personnel to gain advice regarding environmentally sound or sustainable products.,Supplemental,116.0,07/2015,Incumbent,Management Occupations
151,11-0000,Marketing Managers,965,Conduct economic or commercial surveys to identify potential markets for products or services.,Supplemental,116.0,07/2015,Incumbent,Management Occupations
152,11-0000,Marketing Managers,19505,"Recommend modifications to products, packaging, production processes, or other characteristics to improve the environmental soundness or sustainability of products.",Supplemental,116.0,07/2015,Incumbent,Management Occupations
153,11-0000,Marketing Managers,962,"Advise business or other groups on local, national, or international factors affecting the buying or selling of products or services.",Supplemental,113.0,07/2015,Incumbent,Management Occupations
154,11-0000,Marketing Managers,959,Select products or accessories to be displayed at trade or special production shows.,Supplemental,115.0,07/2015,Incumbent,Management Occupations
155,11-0000,Marketing Managers,19503,Develop business cases for environmental marketing strategies.,Supplemental,115.0,07/2015,Incumbent,Management Occupations
156,11-0000,Marketing Managers,19504,"Integrate environmental information into product or company marketing strategies, policies, or activities.",Supplemental,116.0,07/2015,Incumbent,Management Occupations
157,11-0000,Sales Managers,1,Resolve customer complaints regarding sales and service.,Core,21.0,06/2008,Occupational Expert,Management Occupations
158,11-0000,Sales Managers,14,Oversee regional and local sales managers and their staffs.,Core,21.0,06/2008,Occupational Expert,Management Occupations
159,11-0000,Sales Managers,11,"Plan and direct staffing, training, and performance evaluations to develop and control sales and service programs.",Core,21.0,06/2008,Occupational Expert,Management Occupations
160,11-0000,Sales Managers,4,Determine price schedules and discount rates.,Core,21.0,06/2008,Occupational Expert,Management Occupations
161,11-0000,Sales Managers,5,Review operational records and reports to project sales and determine profitability.,Core,21.0,06/2008,Occupational Expert,Management Occupations
162,11-0000,Sales Managers,2,Monitor customer preferences to determine focus of sales efforts.,Core,21.0,06/2008,Occupational Expert,Management Occupations
163,11-0000,Sales Managers,9,Prepare budgets and approve budget expenditures.,Core,21.0,06/2008,Occupational Expert,Management Occupations
164,11-0000,Sales Managers,7,Confer or consult with department heads to plan advertising services and to secure information on equipment and customer specifications.,Core,21.0,06/2008,Occupational Expert,Management Occupations
165,11-0000,Sales Managers,3,"Direct and coordinate activities involving sales of manufactured products, services, commodities, real estate or other subjects of sale.",Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
166,11-0000,Sales Managers,13,Confer with potential customers regarding equipment needs and advise customers on types of equipment to purchase.,Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
167,11-0000,Sales Managers,16,Direct foreign sales and service outlets of an organization.,Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
168,11-0000,Sales Managers,8,Advise dealers and distributors on policies and operating procedures to ensure functional effectiveness of business.,Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
169,11-0000,Sales Managers,12,Visit franchised dealers to stimulate interest in establishment or expansion of leasing programs.,Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
170,11-0000,Sales Managers,15,"Direct clerical staff to keep records of export correspondence, bid requests, and credit collections, and to maintain current information on tariffs, licenses, and restrictions.",Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
171,11-0000,Sales Managers,6,"Direct, coordinate, and review activities in sales and service accounting and record-keeping, and in receiving and shipping operations.",Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
172,11-0000,Sales Managers,17,"Assess marketing potential of new and existing store locations, considering statistics and expenditures.",Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
173,11-0000,Sales Managers,10,Represent company at trade association meetings to promote products.,Supplemental,21.0,06/2008,Occupational Expert,Management Occupations
174,11-0000,Public Relations and Fundraising Managers,18461,"Establish and maintain effective working relationships with clients, government officials, and media representatives and use these relationships to develop new business opportunities.",Core,102.0,06/2009,Incumbent,Management Occupations
175,11-0000,Public Relations and Fundraising Managers,3248,"Write interesting and effective press releases, prepare information for media kits, and develop and maintain company internet or intranet web pages.",Core,103.0,06/2009,Incumbent,Management Occupations
176,11-0000,Public Relations and Fundraising Managers,18462,"Identify main client groups and audiences, determine the best way to communicate publicity information to them, and develop and implement a communication plan.",Core,103.0,06/2009,Incumbent,Management Occupations
177,11-0000,Public Relations and Fundraising Managers,3253,"Assign, supervise, and review the activities of public relations staff.",Core,103.0,06/2009,Incumbent,Management Occupations
178,11-0000,Public Relations and Fundraising Managers,3249,"Develop and maintain the company's corporate image and identity, which includes the use of logos and signage.",Core,103.0,06/2009,Incumbent,Management Occupations
179,11-0000,Public Relations and Fundraising Managers,3259,Respond to requests for information about employers' activities or status.,Core,103.0,06/2009,Incumbent,Management Occupations
180,11-0000,Public Relations and Fundraising Managers,3250,Manage communications budgets.,Core,103.0,06/2009,Incumbent,Management Occupations
181,11-0000,Public Relations and Fundraising Managers,3257,"Direct activities of external agencies, establishments, and departments that develop and implement communication strategies and information programs.",Core,100.0,06/2009,Incumbent,Management Occupations
182,11-0000,Public Relations and Fundraising Managers,3252,Draft speeches for company executives and arrange interviews and other forms of contact for them.,Core,103.0,06/2009,Incumbent,Management Occupations
183,11-0000,Public Relations and Fundraising Managers,3254,Evaluate advertising and promotion programs for compatibility with public relations efforts.,Core,103.0,06/2009,Incumbent,Management Occupations
184,11-0000,Public Relations and Fundraising Managers,3251,"Manage special events, such as sponsorship of races, parties introducing new products, or other activities the firm supports, to gain public attention through the media without advertising directly.",Core,103.0,06/2009,Incumbent,Management Occupations
185,11-0000,Public Relations and Fundraising Managers,3261,"Facilitate consumer relations or the relationship between parts of the company, such as the managers and employees, or different branch offices.",Core,103.0,06/2009,Incumbent,Management Occupations
