,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
1315,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12889,Advise farm groups or growers on land preparation or livestock care techniques that will maximize the quantity and quality of production.,Supplemental,70.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1316,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12886,Calculate applicable government grain quotas.,Supplemental,71.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1317,13-1021.00,"Buyers and Purchasing Agents, Farm Products",12888,"Estimate land production possibilities, surveying property and studying factors such as crop rotation history, soil fertility, or irrigation facilities.",Supplemental,70.0,07/2013,Incumbent,13,Business and Financial Operations Occupations
1318,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20710,Buy merchandise or commodities for resale to wholesale or retail consumers.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1319,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20711,"Negotiate prices, discount terms, or transportation arrangements with suppliers.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1320,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20712,"Examine, select, order, or purchase merchandise consistent with quality, quantity, specification requirements, or other factors, such as environmental soundness.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1321,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20713,"Recommend mark-up rates, markdown rates, or merchandise selling prices.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1322,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20714,Obtain information about customer needs or preferences by conferring with sales or purchasing personnel.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1323,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",68,Authorize payment of invoices or return of merchandise.,Core,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1324,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",66,"Monitor and analyze sales records, trends, or economic conditions to anticipate consumer buying patterns and determine what the company will sell and how much inventory is needed.",Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1325,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20715,Collaborate with vendors to obtain or develop desired products.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1326,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20716,"Inspect merchandise or products to determine quality, value, or yield.",Core,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1327,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",20717,Conduct sales meetings to introduce new merchandise.,Core,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1328,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",72,Consult with store or merchandise managers about budgets or goods to be purchased.,Supplemental,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1329,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",77,"Provide clerks with information to print on price tags, such as price, mark-ups or mark-downs, manufacturer number, season code, or style number.",Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1330,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",76,Train or supervise sales or clerical staff.,Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1331,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",78,"Determine which products should be featured in advertising, the advertising medium to be used, or when the ads should be run.",Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1332,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",79,Monitor competitors' sales activities by following their advertisements in newspapers or other media.,Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1333,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",19547,Analyze environmental aspects of competing merchandise when making buying decisions.,Supplemental,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1334,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",19548,Compare transportation options to determine the most energy efficient options.,Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1335,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",19549,Develop strategies to advertise green products or merchandise to consumers.,Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1336,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",19550,"Identify opportunities to buy green commodities, such as alternative energy, water, or carbon-neutral products for resale to consumers.",Supplemental,82.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1337,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",19551,Monitor consumer preferences or environmental trends to determine the best way to introduce new green products.,Supplemental,81.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1338,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1143,"Prepare purchase orders, solicit bid proposals, and review requisitions for goods and services.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1339,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1142,Purchase the highest quality merchandise at the lowest possible price and in correct amounts.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1340,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1146,Monitor and follow applicable laws and regulations.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1341,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1144,"Research and evaluate suppliers based on price, quality, selection, service, support, availability, reliability, production and distribution capabilities, and the supplier's reputation and history.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1342,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1147,"Negotiate, renegotiate, and administer contracts with suppliers, vendors, and other representatives.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1343,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1145,"Analyze price proposals, financial reports, and other data and information to determine reasonable prices.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1344,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1151,"Maintain and review computerized or manual records of items purchased, costs, deliveries, product performance, and inventories.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1345,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1157,"Write and review product specifications, maintaining a working technical knowledge of the goods or services to be purchased.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1346,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1159,Formulate policies and procedures for bid proposals and procurement of goods and services.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1347,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1150,Evaluate and monitor contract performance to ensure compliance with contractual obligations and to determine need for changes.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1348,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1148,Monitor shipments to ensure that goods come in on time and resolve problems related to undelivered goods.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1349,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1156,"Hire, train, or supervise purchasing clerks, buyers, and expediters.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1350,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1152,"Review catalogs, industry periodicals, directories, trade journals, and Internet sites and consult with other department personnel to locate necessary goods and services.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1351,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1158,"Monitor changes affecting supply and demand, tracking market conditions, price trends, or futures markets.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1352,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1149,"Confer with staff, users, and vendors to discuss defective or unacceptable goods or services and determine corrective action.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1353,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1153,Study sales records and inventory levels of current stock to develop strategic purchasing programs that facilitate employee access to supplies.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1354,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1154,"Interview vendors and visit suppliers' plants and distribution centers to examine and learn about products, services, and prices.",Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1355,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1155,Arrange the payment of duty and freight charges.,Core,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1356,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1160,"Attend meetings, trade shows, conferences, conventions, and seminars to network with people in other purchasing departments.",Supplemental,21.0,07/2011,Occupational Expert,13,Business and Financial Operations Occupations
1357,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5272,"Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1358,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5274,Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1359,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5276,"Resolve complex, severe exposure claims, using high service oriented file handling.",Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1360,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5273,Pay and process claims within designated authority level.,Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1361,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5279,"Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1362,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5278,Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,Core,63.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1363,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5275,"Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.",Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1364,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5282,Confer with legal counsel on claims requiring litigation.,Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1365,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5281,"Contact or interview claimants, doctors, medical specialists, or employers to get additional information.",Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1366,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5277,"Maintain claim files, such as records of settled claims and an inventory of claims requiring detailed analysis.",Core,62.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1367,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5280,Present cases and participate in their discussion at claim committee meetings.,Core,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1368,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5285,Supervise claims adjusters to ensure that adjusters have followed proper methods.,Supplemental,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1369,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5286,Conduct detailed bill reviews to implement sound litigation management and expense control.,Supplemental,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1370,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5283,"Report overpayments, underpayments, and other irregularities.",Supplemental,62.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1371,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5284,Communicate with reinsurance brokers to obtain information necessary for processing claims.,Supplemental,63.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1372,13-1031.01,"Claims Examiners, Property and Casualty Insurance",5287,Prepare reports to be submitted to company's data processing department.,Supplemental,64.0,06/2010,Incumbent,13,Business and Financial Operations Occupations
1373,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1163,Examine claims forms and other records to determine insurance coverage.,Core,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1374,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",18465,Investigate and assess damage to property and create or review property damage estimates.,Core,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1375,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",18466,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",Core,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1376,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",18467,"Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.",Core,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1377,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1165,Negotiate claim settlements and recommend litigation when settlement cannot be negotiated.,Core,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1378,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1164,Analyze information gathered by investigation and report findings and recommendations.,Core,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1379,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1168,Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.,Core,97.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1380,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1166,Prepare report of findings of investigation.,Core,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1381,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1169,Refer questionable claims to investigator or claims adjuster for investigation or settlement.,Core,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1382,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1167,Collect evidence to support contested claims in court.,Core,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1383,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1171,Obtain credit information from banks and other credit services.,Supplemental,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1384,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1170,Examine titles to property to determine validity and act as company agent in transactions with property owners.,Supplemental,99.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1385,13-1031.02,"Insurance Adjusters, Examiners, and Investigators",1172,Communicate with former associates to verify employment record and to obtain background information regarding persons or businesses applying for credit.,Supplemental,98.0,06/2009,Incumbent,13,Business and Financial Operations Occupations
1386,13-1032.00,"Insurance Appraisers, Auto Damage",7246,"Estimate parts and labor to repair damage, using standard automotive labor and parts cost manuals and knowledge of automotive repair.",Core,112.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1387,13-1032.00,"Insurance Appraisers, Auto Damage",7247,Review repair cost estimates with automobile repair shop to secure agreement on cost of repairs.,Core,111.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1388,13-1032.00,"Insurance Appraisers, Auto Damage",7248,"Examine damaged vehicle to determine extent of structural, body, mechanical, electrical, or interior damage.",Core,112.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1389,13-1032.00,"Insurance Appraisers, Auto Damage",7249,Evaluate practicality of repair as opposed to payment of market value of vehicle before accident.,Core,112.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1390,13-1032.00,"Insurance Appraisers, Auto Damage",7250,Determine salvage value on total-loss vehicle.,Core,112.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1391,13-1032.00,"Insurance Appraisers, Auto Damage",7251,Prepare insurance forms to indicate repair cost estimates and recommendations.,Core,111.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1392,13-1032.00,"Insurance Appraisers, Auto Damage",7252,Arrange to have damage appraised by another appraiser to resolve disagreement with shop on repair cost.,Core,112.0,12/2005,Incumbent,13,Business and Financial Operations Occupations
1393,13-1041.01,Environmental Compliance Inspectors,10830,"Examine permits, licenses, applications, and records to ensure compliance with licensing requirements.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1394,13-1041.01,Environmental Compliance Inspectors,10833,"Prepare written, oral, tabular, and graphic reports summarizing requirements and regulations, including enforcement and chain of custody documentation.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1395,13-1041.01,Environmental Compliance Inspectors,10829,"Determine the nature of code violations and actions to be taken, and issue written notices of violation; participate in enforcement hearings as necessary.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1396,13-1041.01,Environmental Compliance Inspectors,10831,"Prepare, organize, and maintain inspection records.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1397,13-1041.01,Environmental Compliance Inspectors,10839,"Verify that hazardous chemicals are handled, stored, and disposed of in accordance with regulations.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1398,13-1041.01,Environmental Compliance Inspectors,10832,Interview individuals to determine the nature of suspected violations and to obtain evidence of violations.,Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1399,13-1041.01,Environmental Compliance Inspectors,10840,Research and keep informed of pertinent information and developments in areas such as EPA laws and regulations.,Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1400,13-1041.01,Environmental Compliance Inspectors,10843,"Learn and observe proper safety precautions, rules, regulations, and practices so that unsafe conditions can be recognized and proper safety protocols implemented.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1401,13-1041.01,Environmental Compliance Inspectors,10834,"Monitor follow-up actions in cases where violations were found, and review compliance monitoring reports.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1402,13-1041.01,Environmental Compliance Inspectors,10836,"Inspect waste pretreatment, treatment, and disposal facilities and systems for conformance to federal, state, or local regulations.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1403,13-1041.01,Environmental Compliance Inspectors,10835,"Investigate complaints and suspected violations regarding illegal dumping, pollution, pesticides, product quality, or labeling laws.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1404,13-1041.01,Environmental Compliance Inspectors,10844,Evaluate label information for accuracy and conformance to regulatory requirements.,Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1405,13-1041.01,Environmental Compliance Inspectors,10838,"Determine sampling locations and methods, and collect water or wastewater samples for analysis, preserving samples with appropriate containers and preservation methods.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1406,13-1041.01,Environmental Compliance Inspectors,10837,"Inform individuals and groups of pollution control regulations and inspection findings, and explain how problems can be corrected.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1407,13-1041.01,Environmental Compliance Inspectors,10848,"Review and evaluate applications for registration of products containing dangerous materials, or for pollution control discharge permits.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1408,13-1041.01,Environmental Compliance Inspectors,10842,"Observe and record field conditions, gathering, interpreting, and reporting data such as flow meter readings and chemical levels.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1409,13-1041.01,Environmental Compliance Inspectors,10841,"Determine which sites and violation reports to investigate, and coordinate compliance and enforcement activities with other government agencies.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1410,13-1041.01,Environmental Compliance Inspectors,10845,"Inform health professionals, property owners, and the public about harmful properties and related problems of water pollution and contaminated wastewater.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1411,13-1041.01,Environmental Compliance Inspectors,10850,"Participate in the development of spill prevention programs and hazardous waste rules and regulations, and recommend corrective actions for hazardous waste problems.",Core,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1412,13-1041.01,Environmental Compliance Inspectors,10846,"Analyze and implement state, federal or local requirements as necessary to maintain approved pretreatment, pollution prevention, and storm water runoff programs.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1413,13-1041.01,Environmental Compliance Inspectors,20473,Prepare data to calculate sewer service charges and capacity fees.,Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1414,13-1041.01,Environmental Compliance Inspectors,10847,"Perform laboratory tests on samples collected, such as analyzing the content of contaminated wastewater.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1415,13-1041.01,Environmental Compliance Inspectors,10851,"Maintain and repair materials, worksites, and equipment.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1416,13-1041.01,Environmental Compliance Inspectors,10849,"Research and perform calculations related to landscape allowances, discharge volumes, production-based and alternative limits, and wastewater strength classifications, then make recommendations and complete documentation.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1417,13-1041.01,Environmental Compliance Inspectors,10852,"Conduct research on hazardous waste management projects in order to determine the magnitude of problems, and treatment or disposal alternatives and costs.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1418,13-1041.01,Environmental Compliance Inspectors,10853,"Respond to questions and inquiries, such as those concerning service charges and capacity fees, or refer them to supervisors.",Supplemental,21.0,07/2014,Occupational Expert,13,Business and Financial Operations Occupations
1419,13-1041.02,Licensing Examiners and Inspectors,10859,Warn violators of infractions or penalties.,Core,76.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1420,13-1041.02,Licensing Examiners and Inspectors,10855,"Evaluate applications, records, or documents to gather information about eligibility or liability issues.",Core,78.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1421,13-1041.02,Licensing Examiners and Inspectors,10858,"Advise licensees or other individuals or groups concerning licensing, permit, or passport regulations.",Core,78.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1422,13-1041.02,Licensing Examiners and Inspectors,10860,"Prepare reports of activities, evaluations, recommendations, or decisions.",Core,77.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1423,13-1041.02,Licensing Examiners and Inspectors,10863,Report law or regulation violations to appropriate boards or agencies.,Core,78.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1424,13-1041.02,Licensing Examiners and Inspectors,10862,"Confer with or interview officials, technical or professional specialists, or applicants to obtain information or to clarify facts relevant to licensing decisions.",Core,77.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1425,13-1041.02,Licensing Examiners and Inspectors,10854,Issue licenses to individuals meeting standards.,Supplemental,79.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1426,13-1041.02,Licensing Examiners and Inspectors,20718,Collect fees for licenses.,Supplemental,79.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1427,13-1041.02,Licensing Examiners and Inspectors,10856,"Administer oral, written, road, or flight tests to license applicants.",Supplemental,79.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
1428,13-1041.02,Licensing Examiners and Inspectors,10864,Visit establishments to verify that valid licenses or permits are displayed and that licensing standards are being upheld.,Supplemental,78.0,07/2015,Incumbent,13,Business and Financial Operations Occupations
