,soc_code,title,task_id,task,task_type,Incumbents Responding,Date,Domain Source,SOC-2digit,SOC Title
2297,15-1121.00,Computer Systems Analysts,3477,"Develop, document and revise system design procedures, test procedures, and quality standards.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2298,15-1121.00,Computer Systems Analysts,3464,"Provide staff and users with assistance solving computer related problems, such as malfunctions and program problems.",Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2299,15-1121.00,Computer Systems Analysts,3478,"Review and analyze computer printouts and performance indicators to locate code problems, and correct errors by correcting codes.",Core,123.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2300,15-1121.00,Computer Systems Analysts,3469,Consult with management to ensure agreement on system principles.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2301,15-1121.00,Computer Systems Analysts,3467,Confer with clients regarding the nature of the information processing or computation needs a computer program is to address.,Core,120.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2302,15-1121.00,Computer Systems Analysts,3480,"Read manuals, periodicals, and technical reports to learn how to develop programs that meet staff and user requirements.",Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2303,15-1121.00,Computer Systems Analysts,3468,Coordinate and link the computer systems within an organization to increase compatibility and so information can be shared.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2304,15-1121.00,Computer Systems Analysts,3472,Determine computer software or hardware needed to set up or alter system.,Core,120.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2305,15-1121.00,Computer Systems Analysts,3481,Supervise computer programmers or other systems analysts or serve as project leaders for particular systems projects.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2306,15-1121.00,Computer Systems Analysts,3475,Assess the usefulness of pre-developed application packages and adapt them to a user environment.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2307,15-1121.00,Computer Systems Analysts,3474,"Analyze information processing or computation needs and plan and design computer systems, using techniques such as structured analysis, data modeling and information engineering.",Core,119.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2308,15-1121.00,Computer Systems Analysts,3476,Define the goals of the system and devise flow charts and diagrams describing logical operational steps of programs.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2309,15-1121.00,Computer Systems Analysts,3473,Train staff and users to work with computer systems and programs.,Core,122.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2310,15-1121.00,Computer Systems Analysts,3479,Recommend new equipment or software packages.,Core,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2311,15-1121.00,Computer Systems Analysts,3466,"Use object-oriented programming languages, as well as client and server applications development processes and multimedia and Internet technology.",Supplemental,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2312,15-1121.00,Computer Systems Analysts,3483,Prepare cost-benefit and return-on-investment analyses to aid in decisions on system implementation.,Supplemental,120.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2313,15-1121.00,Computer Systems Analysts,3482,"Use the computer in the analysis and solution of business problems, such as development of integrated production and inventory control and cost analysis systems.",Supplemental,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2314,15-1121.00,Computer Systems Analysts,3484,Specify inputs accessed by the system and plan the distribution and use of the results.,Supplemental,119.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2315,15-1121.00,Computer Systems Analysts,3471,"Interview or survey workers, observe job performance or perform the job to determine what information is processed and how it is processed.",Supplemental,121.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2316,15-1121.01,Informatics Nurse Specialists,18088,"Design, develop, select, test, implement, and evaluate new or modified informatics solutions, data structures, and decision-support mechanisms to support patients, health care professionals, and their information management and human-computer and human-technology interactions within health care contexts.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2317,15-1121.01,Informatics Nurse Specialists,18094,"Analyze and interpret patient, nursing, or information systems data to improve nursing services.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2318,15-1121.01,Informatics Nurse Specialists,18096,"Apply knowledge of computer science, information science, nursing, and informatics theory to nursing practice, education, administration, or research, in collaboration with other health informatics specialists.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2319,15-1121.01,Informatics Nurse Specialists,18090,"Translate nursing practice information between nurses and systems engineers, analysts, or designers using object-oriented models or other techniques.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2320,15-1121.01,Informatics Nurse Specialists,18100,"Develop strategies, policies or procedures for introducing, evaluating or modifying information technology applied to nursing practice, administration, education, or research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2321,15-1121.01,Informatics Nurse Specialists,18097,"Develop or implement policies or practices to ensure the privacy, confidentiality, or security of patient information.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2322,15-1121.01,Informatics Nurse Specialists,18101,"Identify, collect, record or analyze data that are relevant to the nursing care of patients.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2323,15-1121.01,Informatics Nurse Specialists,18102,"Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in informatics.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2324,15-1121.01,Informatics Nurse Specialists,18103,Provide consultation to nurses regarding hardware or software configuration.,Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2325,15-1121.01,Informatics Nurse Specialists,18089,"Disseminate information about nursing informatics science and practice to the profession, other health care professions, nursing students, and the public.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2326,15-1121.01,Informatics Nurse Specialists,18093,"Develop, implement or evaluate health information technology applications, tools, processes or structures to assist nurses with data management.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2327,15-1121.01,Informatics Nurse Specialists,18092,Use informatics science to design or implement health information technology applications to resolve clinical or health care administrative problems.,Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2328,15-1121.01,Informatics Nurse Specialists,18099,"Develop or deliver training programs for health information technology, creating operating manuals as needed.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2329,15-1121.01,Informatics Nurse Specialists,18095,"Analyze computer and information technologies to determine applicability to nursing practice, education, administration and research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2330,15-1121.01,Informatics Nurse Specialists,18104,"Inform local, state, national and international health policies related to information management and communication, confidentiality and security, patient safety, infrastructure development and economics.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2331,15-1121.01,Informatics Nurse Specialists,18098,"Design, conduct, or provide support to nursing informatics research.",Core,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2332,15-1121.01,Informatics Nurse Specialists,18091,"Plan, install, repair or troubleshoot telehealth technology applications or systems in homes.",Supplemental,20.0,07/2013,Occupational Expert,15,Computer and Mathematical Occupations
2333,15-1122.00,Information Security Analysts,5321,Encrypt data transmissions and erect firewalls to conceal confidential information as it is being transmitted and to keep out tainted digital transfers.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2334,15-1122.00,Information Security Analysts,5314,"Develop plans to safeguard computer files against accidental or unauthorized modification, destruction, or disclosure and to meet emergency data processing needs.",Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2335,15-1122.00,Information Security Analysts,5323,Review violations of computer security procedures and discuss procedures with violators to ensure violations are not repeated.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2336,15-1122.00,Information Security Analysts,5319,Monitor use of data files and regulate access to safeguard information in computer files.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2337,15-1122.00,Information Security Analysts,5316,Monitor current reports of computer viruses to determine when to update virus protection systems.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2338,15-1122.00,Information Security Analysts,5317,"Modify computer security files to incorporate new software, correct errors, or change individual access status.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2339,15-1122.00,Information Security Analysts,5320,Perform risk assessments and execute tests of data processing system to ensure functioning of data processing activities and security measures.,Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2340,15-1122.00,Information Security Analysts,5315,"Confer with users to discuss issues such as computer data access needs, security violations, and programming changes.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2341,15-1122.00,Information Security Analysts,5313,Train users and promote security awareness to ensure system security and to improve server and network efficiency.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2342,15-1122.00,Information Security Analysts,5318,Coordinate implementation of computer system plan with establishment personnel and outside vendors.,Core,74.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2343,15-1122.00,Information Security Analysts,5322,"Document computer security and emergency measures policies, procedures, and tests.",Core,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2344,15-1122.00,Information Security Analysts,5324,"Maintain permanent fleet cryptologic and carry-on direct support systems required in special land, sea surface and subsurface operations.",Supplemental,73.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2345,15-1131.00,Computer Programmers,1267,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2346,15-1131.00,Computer Programmers,1268,Conduct trial runs of programs and software applications to be sure they will produce the desired information and that the instructions are correct.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2347,15-1131.00,Computer Programmers,1270,"Write, update, and maintain computer programs or software packages to handle specific jobs such as tracking inventory, storing or retrieving data, or controlling other equipment.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2348,15-1131.00,Computer Programmers,1273,"Write, analyze, review, and rewrite programs, using workflow chart and diagram, and applying knowledge of computer capabilities, subject matter, and symbolic logic.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2349,15-1131.00,Computer Programmers,1272,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2350,15-1131.00,Computer Programmers,1271,"Consult with managerial, engineering, and technical personnel to clarify program intent, identify problems, and suggest changes.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2351,15-1131.00,Computer Programmers,1277,Perform systems analysis and programming tasks to maintain and control the use of computer systems software as a systems programmer.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2352,15-1131.00,Computer Programmers,1269,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2353,15-1131.00,Computer Programmers,1276,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2354,15-1131.00,Computer Programmers,1278,Consult with and assist computer operators or system analysts to define and resolve problems in running computer programs.,Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2355,15-1131.00,Computer Programmers,1275,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Core,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2356,15-1131.00,Computer Programmers,1279,"Assign, coordinate, and review work and activities of programming personnel.",Supplemental,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2357,15-1131.00,Computer Programmers,1274,Write or contribute to instructions or manuals to guide end users.,Supplemental,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2358,15-1131.00,Computer Programmers,1281,Train subordinates in programming and program coding.,Supplemental,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2359,15-1131.00,Computer Programmers,1280,Collaborate with computer manufacturers and other users to develop new programming methods.,Supplemental,112.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2360,15-1132.00,"Software Developers, Applications",3431,"Modify existing software to correct errors, allow it to adapt to new hardware, or to improve its performance.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2361,15-1132.00,"Software Developers, Applications",3436,"Develop and direct software system testing and validation procedures, programming, and documentation.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2362,15-1132.00,"Software Developers, Applications",3430,"Confer with systems analysts, engineers, programmers and others to design system and to obtain information on project limitations and capabilities, performance requirements and interfaces.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2363,15-1132.00,"Software Developers, Applications",3432,Analyze user needs and software requirements to determine feasibility of design within time and cost constraints.,Core,84.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2364,15-1132.00,"Software Developers, Applications",3435,"Design, develop and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2365,15-1132.00,"Software Developers, Applications",3442,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2366,15-1132.00,"Software Developers, Applications",3433,Consult with customers about software system design and maintenance.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2367,15-1132.00,"Software Developers, Applications",3438,"Supervise the work of programmers, technologists and technicians and other engineering and scientific personnel.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2368,15-1132.00,"Software Developers, Applications",3434,Coordinate software system installation and monitor equipment functioning to ensure specifications are met.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2369,15-1132.00,"Software Developers, Applications",3439,"Obtain and evaluate information on factors such as reporting formats required, costs, and security needs to determine hardware configuration.",Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2370,15-1132.00,"Software Developers, Applications",3440,Determine system performance standards.,Core,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2371,15-1132.00,"Software Developers, Applications",3441,Train users to use new or modified equipment.,Supplemental,84.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2372,15-1132.00,"Software Developers, Applications",3443,Specify power supply requirements and configuration.,Supplemental,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2373,15-1132.00,"Software Developers, Applications",3444,"Recommend purchase of equipment to control dust, temperature, and humidity in area of system installation.",Supplemental,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2374,15-1132.00,"Software Developers, Applications",3437,"Analyze information to determine, recommend, and plan computer specifications and layouts, and peripheral equipment modifications.",Supplemental,85.0,06/2009,Incumbent,15,Computer and Mathematical Occupations
2375,15-1133.00,"Software Developers, Systems Software",3445,"Modify existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2376,15-1133.00,"Software Developers, Systems Software",3449,Develop or direct software system testing or validation procedures.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2377,15-1133.00,"Software Developers, Systems Software",3450,Direct software programming and development of documentation.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2378,15-1133.00,"Software Developers, Systems Software",3451,"Consult with customers or other departments on project status, proposals, or technical issues, such as software system design or maintenance.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2379,15-1133.00,"Software Developers, Systems Software",3448,"Analyze information to determine, recommend, and plan installation of a new system or modification of an existing system.",Core,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2380,15-1133.00,"Software Developers, Systems Software",3447,"Consult with engineering staff to evaluate interface between hardware and software, develop specifications and performance requirements, or resolve customer problems.",Core,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2381,15-1133.00,"Software Developers, Systems Software",3446,"Design or develop software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",Core,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2382,15-1133.00,"Software Developers, Systems Software",3457,"Prepare reports or correspondence concerning project specifications, activities, or status.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2383,15-1133.00,"Software Developers, Systems Software",3456,Confer with data processing or project managers to obtain information on limitations or capabilities for data processing projects.,Core,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2384,15-1133.00,"Software Developers, Systems Software",3455,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements.",Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2385,15-1133.00,"Software Developers, Systems Software",3453,Coordinate installation of software system.,Core,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2386,15-1133.00,"Software Developers, Systems Software",3454,Monitor functioning of equipment to ensure system operates in conformance with specifications.,Supplemental,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2387,15-1133.00,"Software Developers, Systems Software",3459,"Supervise and assign work to programmers, designers, technologists, technicians, or other engineering or scientific personnel.",Supplemental,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2388,15-1133.00,"Software Developers, Systems Software",3452,Advise customer about or perform maintenance of software system.,Supplemental,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2389,15-1133.00,"Software Developers, Systems Software",3460,Train users to use new or modified equipment.,Supplemental,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2390,15-1133.00,"Software Developers, Systems Software",3463,Specify power supply requirements and configuration.,Supplemental,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2391,15-1133.00,"Software Developers, Systems Software",3458,"Evaluate factors such as reporting formats required, cost constraints, or need for security restrictions to determine hardware configuration.",Supplemental,114.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2392,15-1133.00,"Software Developers, Systems Software",3461,"Use microcontrollers to develop control signals, implement control algorithms, or measure process variables, such as temperatures, pressures, or positions.",Supplemental,115.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2393,15-1133.00,"Software Developers, Systems Software",3462,"Recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",Supplemental,116.0,07/2013,Incumbent,15,Computer and Mathematical Occupations
2394,15-1134.00,Web Developers,14694,"Design, build, or maintain Web sites, using authoring or scripting languages, content creation tools, management tools, and digital media.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2395,15-1134.00,Web Developers,14695,Perform or direct Web site updates.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2396,15-1134.00,Web Developers,14696,"Write, design, or edit Web page content, or direct others producing content.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2397,15-1134.00,Web Developers,14697,"Confer with management or development teams to prioritize needs, resolve conflicts, develop content criteria, or choose solutions.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2398,15-1134.00,Web Developers,14698,Back up files from Web sites to local directories for instant recovery in case of problems.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2399,15-1134.00,Web Developers,14699,"Identify problems uncovered by testing or customer feedback, and correct problems or refer problems to appropriate personnel for correction.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2400,15-1134.00,Web Developers,14700,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2401,15-1134.00,Web Developers,14701,"Maintain understanding of current Web technologies or programming practices through continuing education, reading, or participation in professional conferences, workshops, or groups.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2402,15-1134.00,Web Developers,14702,Analyze user needs to determine technical requirements.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2403,15-1134.00,Web Developers,14703,Develop or validate test routines and schedules to ensure that test cases mimic external interfaces and address all browser and device types.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2404,15-1134.00,Web Developers,14704,Develop databases that support Web applications and Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2405,15-1134.00,Web Developers,14705,Renew domain name registrations.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2406,15-1134.00,Web Developers,14706,Collaborate with management or users to develop e-commerce strategies and to integrate these strategies with Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2407,15-1134.00,Web Developers,14707,Write supporting code for Web applications or Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2408,15-1134.00,Web Developers,14708,Communicate with network personnel or Web site hosting agencies to address hardware or software issues affecting Web sites.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2409,15-1134.00,Web Developers,14709,"Design and implement Web site security measures, such as firewalls or message encryption.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2410,15-1134.00,Web Developers,14710,"Perform Web site tests according to planned schedules, or after any Web site or product revision.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2411,15-1134.00,Web Developers,14711,"Select programming languages, design tools, or applications.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2412,15-1134.00,Web Developers,14712,"Incorporate technical considerations into Web site design plans, such as budgets, equipment, performance requirements, or legal issues including accessibility and privacy.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2413,15-1134.00,Web Developers,14713,"Respond to user email inquiries, or set up automated systems to send responses.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2414,15-1134.00,Web Developers,14714,Develop or implement procedures for ongoing Web site revision.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2415,15-1134.00,Web Developers,14715,Develop and document style guidelines for Web site content.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2416,15-1134.00,Web Developers,14716,"Develop Web site maps, application models, image templates, or page templates that meet project goals, user needs, or industry standards.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2417,15-1134.00,Web Developers,14717,Establish appropriate server directory trees.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2418,15-1134.00,Web Developers,14718,Identify or maintain links to and from other Web sites and check links to ensure proper functioning.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2419,15-1134.00,Web Developers,14719,Recommend and implement performance improvements.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2420,15-1134.00,Web Developers,14720,Create searchable indices for Web page content.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2421,15-1134.00,Web Developers,14721,Register Web sites with search engines to increase Web site traffic.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2422,15-1134.00,Web Developers,14722,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",Core,29.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2423,15-1134.00,Web Developers,14723,Monitor security system performance logs to identify problems and notify security specialists when problems occur.,Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2424,15-1134.00,Web Developers,14724,"Create web models or prototypes that include physical, interface, logical, or data models.",Core,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2425,15-1134.00,Web Developers,14725,Evaluate or recommend server hardware or software.,Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2426,15-1134.00,Web Developers,14726,"Document test plans, testing procedures, or test results.",Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2427,15-1134.00,Web Developers,14727,"Research, document, rate, or select alternatives for Web architecture or technologies.",Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2428,15-1134.00,Web Developers,14728,"Document technical factors such as server load, bandwidth, database performance, and browser and device types.",Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2429,15-1134.00,Web Developers,14729,Install and configure hypertext transfer protocol (HTTP) servers and associated operating systems.,Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2430,15-1134.00,Web Developers,14730,Develop system interaction or sequence diagrams.,Supplemental,30.0,06/2008,Occupational Expert,15,Computer and Mathematical Occupations
2431,15-1141.00,Database Administrators,1300,"Test programs or databases, correct errors, and make necessary modifications.",Core,85.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2432,15-1141.00,Database Administrators,1299,Modify existing databases and database management systems or direct programmers and analysts to make changes.,Core,83.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
2433,15-1141.00,Database Administrators,1301,"Plan, coordinate and implement security measures to safeguard information in computer files against accidental or unauthorized damage, modification or disclosure.",Core,84.0,06/2008,Incumbent,15,Computer and Mathematical Occupations
